url,title,meta_description,meta_keywords,canonical_url,description,error,og:description,og:image,og:title,og:type,robots,theme-color,twitter:card,twitter:description,twitter:image,twitter:title,viewport
# https://example.com,,,,,,No connection adapters were found for '# https://example.com',,,,,,,,,,,
https://www.comicrelief.org,Comic Relief US — Home,"Comic Relief US is an American nonprofit using the power of entertainment to drive positive change toward our vision of a just world, free from poverty.",No keywords,No canonical URL,"Comic Relief US is an American nonprofit using the power of entertainment to drive positive change toward our vision of a just world, free from poverty.",,"Comic Relief US is an American nonprofit using the power of entertainment to drive positive change toward our vision of a just world, free from poverty.",https://cdn.prod.website-files.com/64ef9f67e2a04fa89656701f/651458949e5b67a770af03c1_OG%20Image.png,Comic Relief US — Home,website,,#333,summary_large_image,"Comic Relief US is an American nonprofit using the power of entertainment to drive positive change toward our vision of a just world, free from poverty.",https://cdn.prod.website-files.com/64ef9f67e2a04fa89656701f/651458949e5b67a770af03c1_OG%20Image.png,Comic Relief US — Home,"width=device-width, initial-scale=1"
https://www.comicrelief.org/blog,Comic Relief | Blog,"Read about the real stories of change and community transformation happening all over the U.S. with Comic Relief. For us, the work is live and active.",No keywords,No canonical URL,"Read about the real stories of change and community transformation happening all over the U.S. with Comic Relief. For us, the work is live and active.",,"Read about the real stories of change and community transformation happening all over the U.S. with Comic Relief. For us, the work is live and active.",https://cdn.prod.website-files.com/64ef9f67e2a04fa89656701f/651458949e5b67a770af03c1_OG%20Image.png,Comic Relief | Blog,website,,#333,summary_large_image,"Read about the real stories of change and community transformation happening all over the U.S. with Comic Relief. For us, the work is live and active.",https://cdn.prod.website-files.com/64ef9f67e2a04fa89656701f/651458949e5b67a770af03c1_OG%20Image.png,Comic Relief | Blog,"width=device-width, initial-scale=1"
https://www.comicrelief.org/corporate-partners,Comic Relief US | Corporate Partnerships.,Our corporate partners make it possible for us to help more children and their families break the cycle of poverty and move towards a brighter future.,No keywords,No canonical URL,Our corporate partners make it possible for us to help more children and their families break the cycle of poverty and move towards a brighter future.,,Our corporate partners make it possible for us to help more children and their families break the cycle of poverty and move towards a brighter future.,https://cdn.prod.website-files.com/64ef9f67e2a04fa89656701f/651458949e5b67a770af03c1_OG%20Image.png,Comic Relief US | Corporate Partnerships.,website,"noindex, nofollow",#333,summary_large_image,Our corporate partners make it possible for us to help more children and their families break the cycle of poverty and move towards a brighter future.,https://cdn.prod.website-files.com/64ef9f67e2a04fa89656701f/651458949e5b67a770af03c1_OG%20Image.png,Comic Relief US | Corporate Partnerships.,"width=device-width, initial-scale=1"
https://www.comicrelief.org/financials,Comic Relief | Financials,This year was our biggest year yet. Read Comic Relief's Financial Reports.,No keywords,No canonical URL,This year was our biggest year yet. Read Comic Relief's Financial Reports.,,This year was our biggest year yet. Read Comic Relief's Financial Reports.,https://cdn.prod.website-files.com/64ef9f67e2a04fa89656701f/651458949e5b67a770af03c1_OG%20Image.png,Comic Relief | Financials,website,,#333,summary_large_image,This year was our biggest year yet. Read Comic Relief's Financial Reports.,https://cdn.prod.website-files.com/64ef9f67e2a04fa89656701f/651458949e5b67a770af03c1_OG%20Image.png,Comic Relief | Financials,"width=device-width, initial-scale=1"
https://www.comicrelief.org/live,Comic Relief Live 2025,Comic Relief Live 2025 — A benefit to build brighter futures for kids. Hosted by John Oliver. Honoring Trevor Noah and Kristin Lemkau. December 10 at Carnegie Hall.,No keywords,No canonical URL,Comic Relief Live 2025 — A benefit to build brighter futures for kids. Hosted by John Oliver. Honoring Trevor Noah and Kristin Lemkau. December 10 at Carnegie Hall.,,Comic Relief Live 2025 — A benefit to build brighter futures for kids. Hosted by John Oliver. Honoring Trevor Noah and Kristin Lemkau. December 10 at Carnegie Hall.,https://cdn.prod.website-files.com/64ef9f67e2a04fa89656701f/68642152aa8ef0e620fe298a_Comic-Relief-Live-Save-The-Date_EmailHeader_36-min.png,Comic Relief Live 2025,website,,#333,summary_large_image,Comic Relief Live 2025 — A benefit to build brighter futures for kids. Hosted by John Oliver. Honoring Trevor Noah and Kristin Lemkau. December 10 at Carnegie Hall.,https://cdn.prod.website-files.com/64ef9f67e2a04fa89656701f/68642152aa8ef0e620fe298a_Comic-Relief-Live-Save-The-Date_EmailHeader_36-min.png,Comic Relief Live 2025,"width=device-width, initial-scale=1"
https://www.comicrelief.org/get-involved,Comic Relief | Get Involved,"Everyone has a different style of giving. Whether you're a teacher, brand,  gamer, or all-around generous person, find the best way to lend your support.",No keywords,No canonical URL,"Everyone has a different style of giving. Whether you're a teacher, brand,  gamer, or all-around generous person, find the best way to lend your support.",,"Everyone has a different style of giving. Whether you're a teacher, brand,  gamer, or all-around generous person, find the best way to lend your support.",https://cdn.prod.website-files.com/64ef9f67e2a04fa89656701f/651458949e5b67a770af03c1_OG%20Image.png,Comic Relief | Get Involved,website,,#333,summary_large_image,"Everyone has a different style of giving. Whether you're a teacher, brand,  gamer, or all-around generous person, find the best way to lend your support.",https://cdn.prod.website-files.com/64ef9f67e2a04fa89656701f/651458949e5b67a770af03c1_OG%20Image.png,Comic Relief | Get Involved,"width=device-width, initial-scale=1"
https://www.comicrelief.org/press,Comic Relief | Press,The place for all things press. Want to see our recent press releases or reach out with an inquiry? This is where to do it. Thank you for helping to spread the mission of Comic Relief.,No keywords,No canonical URL,The place for all things press. Want to see our recent press releases or reach out with an inquiry? This is where to do it. Thank you for helping to spread the mission of Comic Relief.,,The place for all things press. Want to see our recent press releases or reach out with an inquiry? This is where to do it. Thank you for helping to spread the mission of Comic Relief.,https://cdn.prod.website-files.com/64ef9f67e2a04fa89656701f/651458949e5b67a770af03c1_OG%20Image.png,Comic Relief | Press,website,,#333,summary_large_image,The place for all things press. Want to see our recent press releases or reach out with an inquiry? This is where to do it. Thank you for helping to spread the mission of Comic Relief.,https://cdn.prod.website-files.com/64ef9f67e2a04fa89656701f/651458949e5b67a770af03c1_OG%20Image.png,Comic Relief | Press,"width=device-width, initial-scale=1"
https://www.comicrelief.org/search,Search Results,No description,No keywords,No canonical URL,,,,,Search Results,,,#333,,,,Search Results,"width=device-width, initial-scale=1"
https://www.comicrelief.org/sign-up,Comic Relief | Sign Up,Ready to put poverty in our past? Sign up for updates on the work Comic Relief is doing and how you can use your unique gifts to contribute to the mission.,No keywords,No canonical URL,Ready to put poverty in our past? Sign up for updates on the work Comic Relief is doing and how you can use your unique gifts to contribute to the mission.,,Ready to put poverty in our past? Sign up for updates on the work Comic Relief is doing and how you can use your unique gifts to contribute to the mission.,https://cdn.prod.website-files.com/64ef9f67e2a04fa89656701f/651458949e5b67a770af03c1_OG%20Image.png,Comic Relief | Sign Up,website,,#333,summary_large_image,Ready to put poverty in our past? Sign up for updates on the work Comic Relief is doing and how you can use your unique gifts to contribute to the mission.,https://cdn.prod.website-files.com/64ef9f67e2a04fa89656701f/651458949e5b67a770af03c1_OG%20Image.png,Comic Relief | Sign Up,"width=device-width, initial-scale=1"
